date,datetime,cash_type,card,money,coffee_name
02-04-2024,59:31.9,cash,,40,Cappuccino
03-04-2024,19:13.6,card,ANON-0000-0000-0003,28.9,Cortado
03-04-2024,20:07.7,card,ANON-0000-0000-0003,28.9,Americano
03-04-2024,12:05.4,card,ANON-0000-0000-0012,38.7,Cappuccino
03-04-2024,36:11.7,cash,,30,Cortado
04-04-2024,44:56.0,card,ANON-0000-0000-0091,38.7,Latte
04-04-2024,26:38.1,card,ANON-0000-0000-0092,38.7,Latte
04-04-2024,27:48.4,card,ANON-0000-0000-0093,38.7,Cappuccino
04-04-2024,23:02.2,card,ANON-0000-0000-0094,28.9,Cortado
04-04-2024,42:07.7,cash,,40,Latte
05-04-2024,40:42.7,card,ANON-0000-0000-0095,28.9,Americano
05-04-2024,42:06.2,card,ANON-0000-0000-0012,28.9,Americano
05-04-2024,06:14.6,card,ANON-0000-0000-0096,28.9,Cortado
05-04-2024,14:28.0,card,ANON-0000-0000-0097,33.8,Americano with Milk
05-04-2024,23:40.4,card,ANON-0000-0000-0098,38.7,Latte
05-04-2024,24:50.4,card,ANON-0000-0000-0098,28.9,Cortado
05-04-2024,30:50.4,cash,,40,Latte
05-04-2024,54:15.8,cash,,40,Cappuccino
05-04-2024,55:30.9,cash,,30,Americano
05-04-2024,17:44.0,cash,,40,Cocoa
05-04-2024,18:23.6,card,ANON-0000-0000-0003,24,Espresso
06-04-2024,32:31.4,card,ANON-0000-0000-0099,33.8,Americano with Milk
06-04-2024,13:18.7,card,ANON-0000-0000-0040,38.7,Cappuccino
06-04-2024,14:27.0,card,ANON-0000-0000-0040,28.9,Americano
06-04-2024,49:50.2,card,ANON-0000-0000-0009,38.7,Latte
07-04-2024,12:53.2,card,ANON-0000-0000-0091,38.7,Latte
07-04-2024,44:31.9,card,ANON-0000-0000-0040,38.7,Cappuccino
07-04-2024,46:05.1,card,ANON-0000-0000-0040,38.7,Cappuccino
07-04-2024,16:24.9,card,ANON-0000-0000-0100,28.9,Cortado
07-04-2024,17:30.6,card,ANON-0000-0000-0100,24,Espresso
07-04-2024,01:16.6,card,ANON-0000-0000-0101,38.7,Hot Chocolate
07-04-2024,02:03.9,card,ANON-0000-0000-0101,33.8,Americano with Milk
08-04-2024,58:21.1,card,ANON-0000-0000-0102,33.8,Americano with Milk
08-04-2024,59:27.6,card,ANON-0000-0000-0103,38.7,Cappuccino
08-04-2024,01:20.5,card,ANON-0000-0000-0012,28.9,Americano
08-04-2024,04:47.0,card,ANON-0000-0000-0104,38.7,Cappuccino
08-04-2024,54:25.9,cash,,25,Espresso
08-04-2024,43:36.9,cash,,35,Americano with Milk
08-04-2024,41:37.8,card,ANON-0000-0000-0017,38.7,Latte
08-04-2024,18:09.7,card,ANON-0000-0000-0105,28.9,Americano
08-04-2024,22:27.5,card,ANON-0000-0000-0024,33.8,Americano with Milk
08-04-2024,23:59.3,card,ANON-0000-0000-0106,38.7,Cappuccino
09-04-2024,22:27.4,cash,,40,Cappuccino
09-04-2024,24:10.1,cash,,30,Americano
09-04-2024,42:28.5,card,ANON-0000-0000-0091,38.7,Latte
09-04-2024,11:48.7,card,ANON-0000-0000-0107,38.7,Hot Chocolate
09-04-2024,25:23.9,card,ANON-0000-0000-0049,38.7,Hot Chocolate
10-04-2024,21:26.2,cash,,25,Espresso
10-04-2024,55:07.0,cash,,40,Hot Chocolate
10-04-2024,55:31.2,card,ANON-0000-0000-0108,24,Espresso
10-04-2024,24:59.3,card,ANON-0000-0000-0009,38.7,Cappuccino
10-04-2024,04:05.4,card,ANON-0000-0000-0109,38.7,Latte
11-04-2024,41:23.2,card,ANON-0000-0000-0110,28.9,Americano
11-04-2024,42:59.4,card,ANON-0000-0000-0110,28.9,Americano
11-04-2024,35:23.1,card,ANON-0000-0000-0017,38.7,Latte
11-04-2024,16:56.6,card,ANON-0000-0000-0106,38.7,Cappuccino
11-04-2024,18:36.6,card,ANON-0000-0000-0024,33.8,Americano with Milk
12-04-2024,03:43.4,card,ANON-0000-0000-0019,38.7,Hot Chocolate
12-04-2024,38:23.2,card,ANON-0000-0000-0009,28.9,Cortado
13-04-2024,29:19.8,card,ANON-0000-0000-0009,38.7,Latte
13-04-2024,43:02.4,card,ANON-0000-0000-0012,28.9,Americano
13-04-2024,06:52.3,cash,,40,Hot Chocolate
13-04-2024,07:56.0,cash,,40,Hot Chocolate
13-04-2024,18:03.9,card,ANON-0000-0000-0111,38.7,Cappuccino
13-04-2024,19:39.8,card,ANON-0000-0000-0111,38.7,Latte
13-04-2024,51:26.0,card,ANON-0000-0000-0112,38.7,Cappuccino
13-04-2024,53:19.2,card,ANON-0000-0000-0012,38.7,Cappuccino
14-04-2024,55:27.4,cash,,40,Latte
14-04-2024,24:39.0,card,ANON-0000-0000-0113,38.7,Cappuccino
14-04-2024,27:09.0,cash,,30,Cortado
14-04-2024,29:06.9,cash,,30,Cortado
14-04-2024,31:36.0,cash,,35,Americano with Milk
14-04-2024,21:49.8,card,ANON-0000-0000-0114,28.9,Cortado
14-04-2024,23:31.6,card,ANON-0000-0000-0012,28.9,Americano
14-04-2024,24:26.9,card,ANON-0000-0000-0012,28.9,Americano
14-04-2024,25:18.1,card,ANON-0000-0000-0012,28.9,Americano
14-04-2024,46:27.7,card,ANON-0000-0000-0017,38.7,Cappuccino
14-04-2024,59:54.8,card,ANON-0000-0000-0012,28.9,Cortado
14-04-2024,00:45.4,card,ANON-0000-0000-0019,38.7,Latte
14-04-2024,38:19.6,card,ANON-0000-0000-0115,38.7,Cappuccino
15-04-2024,45:24.6,card,ANON-0000-0000-0064,28.9,Americano
15-04-2024,01:46.4,card,ANON-0000-0000-0003,28.9,Americano
15-04-2024,02:49.7,card,ANON-0000-0000-0004,33.8,Americano with Milk
15-04-2024,33:03.0,card,ANON-0000-0000-0009,33.8,Americano with Milk
15-04-2024,41:58.1,cash,,25,Espresso
16-04-2024,43:49.9,cash,,35,Americano with Milk
16-04-2024,46:25.7,card,ANON-0000-0000-0116,33.8,Americano with Milk
16-04-2024,40:47.7,card,ANON-0000-0000-0117,38.7,Cocoa
16-04-2024,52:07.7,card,ANON-0000-0000-0064,28.9,Cortado
16-04-2024,03:16.9,card,ANON-0000-0000-0118,28.9,Americano
16-04-2024,42:04.2,card,ANON-0000-0000-0024,33.8,Americano with Milk
16-04-2024,43:23.0,card,ANON-0000-0000-0009,38.7,Cappuccino
16-04-2024,09:05.3,card,ANON-0000-0000-0050,38.7,Cocoa
17-04-2024,32:59.8,card,ANON-0000-0000-0012,28.9,Americano
17-04-2024,44:00.2,card,ANON-0000-0000-0119,24,Espresso
17-04-2024,13:24.3,cash,,40,Cappuccino
17-04-2024,01:35.1,card,ANON-0000-0000-0120,38.7,Cappuccino
17-04-2024,02:40.7,card,ANON-0000-0000-0120,38.7,Cappuccino
17-04-2024,14:03.2,card,ANON-0000-0000-0121,28.9,Cortado
18-04-2024,19:01.7,card,ANON-0000-0000-0003,28.9,Americano
18-04-2024,20:05.7,card,ANON-0000-0000-0003,28.9,Americano
18-04-2024,49:12.7,card,ANON-0000-0000-0122,33.8,Americano with Milk
18-04-2024,50:17.3,card,ANON-0000-0000-0122,28.9,Cortado
18-04-2024,34:19.8,card,ANON-0000-0000-0123,38.7,Cappuccino
18-04-2024,35:49.4,card,ANON-0000-0000-0123,38.7,Latte
18-04-2024,44:15.8,card,ANON-0000-0000-0069,38.7,Latte
18-04-2024,21:05.9,card,ANON-0000-0000-0085,38.7,Cappuccino
18-04-2024,39:51.2,card,ANON-0000-0000-0024,38.7,Hot Chocolate
18-04-2024,40:49.0,card,ANON-0000-0000-0009,38.7,Hot Chocolate
19-04-2024,10:36.3,card,ANON-0000-0000-0001,38.7,Latte
19-04-2024,11:47.8,card,ANON-0000-0000-0040,33.8,Americano with Milk
19-04-2024,13:20.9,card,ANON-0000-0000-0040,38.7,Cappuccino
19-04-2024,58:54.1,card,ANON-0000-0000-0124,38.7,Hot Chocolate
19-04-2024,59:49.7,card,ANON-0000-0000-0124,38.7,Cappuccino
19-04-2024,23:19.3,card,ANON-0000-0000-0024,38.7,Cocoa
19-04-2024,25:33.4,card,ANON-0000-0000-0009,33.8,Americano with Milk
20-04-2024,24:42.7,cash,,35,Americano with Milk
20-04-2024,08:35.7,card,ANON-0000-0000-0125,33.8,Americano with Milk
20-04-2024,09:42.7,card,ANON-0000-0000-0125,33.8,Americano with Milk
20-04-2024,08:37.4,card,ANON-0000-0000-0118,28.9,Americano
20-04-2024,09:47.9,card,ANON-0000-0000-0118,33.8,Americano with Milk
20-04-2024,10:55.2,card,ANON-0000-0000-0118,38.7,Hot Chocolate
20-04-2024,44:18.1,card,ANON-0000-0000-0040,38.7,Cappuccino
20-04-2024,11:00.3,card,ANON-0000-0000-0009,33.8,Americano with Milk
20-04-2024,22:40.7,card,ANON-0000-0000-0012,32.82,Americano with Milk
20-04-2024,49:25.1,card,ANON-0000-0000-0126,32.82,Americano with Milk
20-04-2024,07:58.0,cash,,39,Cocoa
20-04-2024,27:41.5,card,ANON-0000-0000-0127,37.72,Cappuccino
20-04-2024,28:46.9,card,ANON-0000-0000-0127,37.72,Cappuccino
20-04-2024,30:55.3,card,ANON-0000-0000-0128,37.72,Latte
21-04-2024,16:45.7,card,ANON-0000-0000-0001,37.72,Latte
21-04-2024,15:37.5,card,ANON-0000-0000-0099,27.92,Americano
21-04-2024,09:03.2,cash,,39,Cappuccino
22-04-2024,09:16.4,card,ANON-0000-0000-0012,27.92,Americano
22-04-2024,29:27.1,card,ANON-0000-0000-0129,32.82,Americano with Milk
22-04-2024,40:33.0,cash,,39,Latte
22-04-2024,39:04.8,card,ANON-0000-0000-0009,37.72,Latte
22-04-2024,02:29.2,cash,,39,Cappuccino
23-04-2024,22:36.0,card,ANON-0000-0000-0025,37.72,Cappuccino
23-04-2024,23:53.1,card,ANON-0000-0000-0024,32.82,Americano with Milk
23-04-2024,24:57.5,card,ANON-0000-0000-0009,37.72,Cappuccino
23-04-2024,42:27.8,card,ANON-0000-0000-0130,32.82,Americano with Milk
23-04-2024,43:26.2,card,ANON-0000-0000-0130,32.82,Americano with Milk
24-04-2024,19:38.3,card,ANON-0000-0000-0001,37.72,Latte
24-04-2024,21:27.3,card,ANON-0000-0000-0131,32.82,Americano with Milk
24-04-2024,23:46.1,card,ANON-0000-0000-0132,32.82,Americano with Milk
24-04-2024,33:26.3,card,ANON-0000-0000-0133,32.82,Americano with Milk
24-04-2024,39:09.3,card,ANON-0000-0000-0059,32.82,Americano with Milk
24-04-2024,39:07.4,card,ANON-0000-0000-0009,32.82,Americano with Milk
24-04-2024,39:50.0,card,ANON-0000-0000-0134,32.82,Americano with Milk
24-04-2024,40:54.0,card,ANON-0000-0000-0134,37.72,Cappuccino
25-04-2024,46:08.1,card,ANON-0000-0000-0135,27.92,Americano
25-04-2024,18:27.0,card,ANON-0000-0000-0009,37.72,Latte
25-04-2024,09:43.5,card,ANON-0000-0000-0012,27.92,Americano
25-04-2024,10:49.2,card,ANON-0000-0000-0012,27.92,Americano
26-04-2024,12:50.6,card,ANON-0000-0000-0001,37.72,Latte
26-04-2024,01:30.6,card,ANON-0000-0000-0136,37.72,Latte
26-04-2024,31:28.3,card,ANON-0000-0000-0137,37.72,Cappuccino
26-04-2024,32:35.4,card,ANON-0000-0000-0012,27.92,Americano
26-04-2024,33:33.1,card,ANON-0000-0000-0012,27.92,Americano
26-04-2024,23:26.5,card,ANON-0000-0000-0138,27.92,Cortado
26-04-2024,24:33.8,card,ANON-0000-0000-0139,27.92,Americano
26-04-2024,32:07.1,card,ANON-0000-0000-0009,37.72,Hot Chocolate
26-04-2024,33:30.2,card,ANON-0000-0000-0009,37.72,Cocoa
27-04-2024,27:00.7,card,ANON-0000-0000-0009,37.72,Cappuccino
28-04-2024,32:52.5,card,ANON-0000-0000-0001,37.72,Latte
28-04-2024,30:09.7,card,ANON-0000-0000-0140,37.72,Cappuccino
28-04-2024,27:08.2,card,ANON-0000-0000-0012,27.92,Americano
28-04-2024,28:11.4,card,ANON-0000-0000-0012,27.92,Americano
28-04-2024,29:02.4,card,ANON-0000-0000-0019,37.72,Latte
29-04-2024,26:31.9,card,ANON-0000-0000-0141,27.92,Cortado
29-04-2024,27:56.9,card,ANON-0000-0000-0003,27.92,Americano
29-04-2024,28:53.9,card,ANON-0000-0000-0003,27.92,Cortado
